I_magnitude,period_days,I_band_amplitude,V_minus_I_color,star_type
15.982,2.0722102,0.5,0.6440000000000019,Cepheid
14.567,5.0433984,0.489,0.6809999999999992,Cepheid
16.022,2.8975054,0.369,1.017000000000003,Cepheid
14.018,8.0742991,0.475,0.7699999999999996,Cepheid
14.376,5.8135077,0.465,0.6910000000000007,Cepheid
14.145,9.7737705,0.439,0.9109999999999996,Cepheid
15.028,3.7846847,0.596,0.7099999999999991,Cepheid
14.341,8.9671808,0.063,1.0030000000000001,Cepheid
15.374,3.4443293,0.477,0.8749999999999982,Cepheid
14.881,4.6080794,0.475,0.7560000000000002,Cepheid
15.177,3.4779288,0.554,0.6550000000000011,Cepheid
15.954,1.9861261,0.347,0.7189999999999976,Cepheid
15.33,2.965166,0.554,0.7080000000000002,Cepheid
15.911,3.6369975,0.448,1.2720000000000002,Cepheid
15.374,3.3812925,0.282,0.7900000000000009,Cepheid
14.478,6.5776492,0.315,0.8879999999999999,Cepheid
15.782,2.8745338,0.445,0.8140000000000001,Cepheid
15.362,3.3182087,0.455,0.7529999999999983,Cepheid
15.295,3.4889475,0.448,0.8070000000000004,Cepheid
14.059,10.0438827,0.409,0.9150000000000009,Cepheid
14.404,7.2534884,0.085,0.8360000000000003,Cepheid
14.654,4.9530169,0.604,0.7080000000000002,Cepheid
15.426,3.1484565,0.273,0.7769999999999992,Cepheid
15.591,2.457417,0.22,0.6790000000000003,Cepheid
15.6,2.7277271,0.618,0.7249999999999996,Cepheid
15.408,3.1730121,0.304,0.7449999999999992,Cepheid
15.755,4.0350009,0.391,1.1129999999999978,Cepheid
16.382,1.3087944,0.492,0.8339999999999996,Cepheid
15.253,3.5682968,0.49,0.7460000000000004,Cepheid
14.35,7.369647,0.447,0.8040000000000003,Cepheid
14.377,8.8016586,0.355,0.8669999999999991,Cepheid
15.434,2.9116923,0.523,0.6899999999999995,Cepheid
13.928,9.334619,0.46,0.8009999999999984,Cepheid
15.628,2.7574618,0.437,0.782,Cepheid
17.007,2.3893427,0.495,1.3969999999999985,Cepheid
14.173,9.364163,0.2,0.9759999999999991,Cepheid
16.236,1.7072449,0.364,0.6600000000000001,Cepheid
15.464,2.7641614,0.61,0.6910000000000007,Cepheid
14.944,4.7407623,0.446,0.7929999999999993,Cepheid
14.01,9.2014596,0.214,0.8100000000000005,Cepheid
15.247,3.8118711,0.272,0.7910000000000004,Cepheid
13.829,10.5200613,0.249,0.9870000000000001,Cepheid
15.072,3.7686311,0.524,0.6900000000000013,Cepheid
13.904,8.5591831,0.456,0.7910000000000004,Cepheid
15.357,2.7924143,0.497,0.6100000000000012,Cepheid
14.155,7.8447462,0.28,0.8370000000000015,Cepheid
15.234,4.0692071,0.429,0.9389999999999983,Cepheid
16.383,1.4770754,0.235,0.7119999999999997,Cepheid
14.592,6.394355,0.266,0.9450000000000003,Cepheid
15.551,3.2755943,0.303,0.8280000000000012,Cepheid
14.67,5.1749792,0.544,0.7319999999999993,Cepheid
15.451,3.0805803,0.407,0.718,Cepheid
15.036,3.9292771,0.485,0.7460000000000004,Cepheid
14.419,5.5074028,0.533,0.6639999999999997,Cepheid
15.422,3.1025766,0.484,0.7590000000000003,Cepheid
14.877,4.9932456,0.33,0.8069999999999986,Cepheid
15.471,3.3099928,0.491,0.8649999999999984,Cepheid
15.06,4.5089533,0.42,0.831999999999999,Cepheid
15.948,2.1269245,0.542,0.7010000000000005,Cepheid
13.67,12.9496038,0.581,0.9450000000000003,Cepheid
16.172,1.9374447,0.468,0.727999999999998,Cepheid
15.504,2.7664832,0.415,0.7260000000000009,Cepheid
15.36,2.9226508,0.539,0.6440000000000019,Cepheid
15.476,2.9125537,0.488,0.6489999999999991,Cepheid
15.218,3.7088035,0.379,0.7910000000000004,Cepheid
16.021,2.726971,0.573,0.9250000000000007,Cepheid
14.779,5.5496495,0.408,0.8580000000000005,Cepheid
15.272,3.2801219,0.414,0.6989999999999998,Cepheid
15.437,3.3829234,0.35,0.802999999999999,Cepheid
